Year,Country,Player,Team/Club
2012,"""Argentina""",Lionel Messi,FC Barcelona
2013,"""Portugal""",Cristiano Ronaldo,Real Madrid
2014,"""Portugal""",Cristiano Ronaldo,Real Madrid
2015,"""Argentina""",Lionel Messi,FC Barcelona
2016,"""Portugal""",Cristiano Ronaldo,Real Madrid
2017,"""Portugal""",Cristiano Ronaldo,Real Madrid
2018,"""Croatia""",Luka Modrić,Real Madrid
2019,"""Argentina""",Lionel Messi,FC Barcelona
2020,"""Poland""",Robert Lewandowski,Bayern Munich
2021,"""Poland""",Robert Lewandowski,Bayern Munich
